hcid_ymd,redcap_data_access_group,hcid,wk_start_date,rdtp_u5,rdtp_a5,rdt_u5ntx,rdt_a5ntx,rdt_u5tx,rdt_a5tx,nordt_u5,nordt_a5,used,stk,dia_u5,dia_a5,pneu_u5,pneu_a5,mald_u5,mald_a5,mz_rdtp_u5,mz_rdtp_a5,mz_rdt_u5ntx,mz_rdt_a5ntx,mz_rdt_u5tx,mz_rdt_a5tx,mz_dia_u5,mz_dia_a5,mz_pneu_u5,mz_pneu_a5,mz_mald_u5,mz_mald_a5,weekly_sms_health_center_data_complete
10120120416,1__choma_district,101,4/16/2012,6,11,40,45,0,0,0,0,104,3,42,28,1,1,,,,,,,,,,,,,,,2
10120120423,1__choma_district,101,4/23/2012,5,7,17,12,0,0,0,0,41,252,51,30,1,11,,,,,,,,,,,,,,,2
10120120430,1__choma_district,101,4/30/2012,0,8,19,19,0,0,0,0,44,180,3,2,1,0,,,,,,,,,,,,,,,2
10120120507,1__choma_district,101,5/7/2012,1,1,9,15,0,0,0,0,27,150,6,7,0,0,,,,,,,,,,,,,,,2
10120120514,1__choma_district,101,5/14/2012,1,2,20,13,0,0,0,0,36,113,7,8,1,0,,,,,,,,,,,,,,,2
10120120521,1__choma_district,101,5/21/2012,0,7,19,14,0,0,0,0,41,71,23,8,3,1,,,,,,,,,,,,,,,2
10120120528,1__choma_district,101,5/28/2012,1,0,9,14,0,0,0,0,24,144,4,2,1,1,,,,,,,,,,,,,,,2
10120120604,1__choma_district,101,6/4/2012,0,0,4,13,0,0,0,0,17,131,19,9,0,0,,,,,,,,,,,,,,,2
10120120611,1__choma_district,101,6/11/2012,0,0,3,3,0,0,0,0,6,125,15,6,0,0,,,,,,,,,,,,,,,2
10120120618,1__choma_district,101,6/18/2012,1,0,8,7,0,0,0,0,16,109,21,1,0,0,,,,,,,,,,,,,,,2
10120120625,1__choma_district,101,6/25/2012,0,0,10,4,0,0,0,0,14,84,26,6,0,1,,,,,,,,,,,,,,,2
10120120702,1__choma_district,101,7/2/2012,0,0,6,3,0,0,0,0,9,75,15,0,0,1,,,,,,,,,,,,,,,2
10120120709,1__choma_district,101,7/9/2012,0,0,10,8,0,0,0,0,18,57,8,5,,0,,,,,,,,,,,,,,,2
10120120716,1__choma_district,101,7/16/2012,0,0,7,7,0,0,0,0,14,43,11,3,1,0,,,,,,,,,,,,,,,2
10120120723,1__choma_district,101,7/23/2012,0,0,5,4,0,0,0,0,9,36,12,6,0,0,,,,,,,,,,,,,,,2
10120120730,1__choma_district,101,7/30/2012,0,0,2,5,0,0,0,0,7,29,4,4,0,0,,,,,,,,,,,,,,,2
10120120806,1__choma_district,101,8/6/2012,0,0,1,1,0,0,0,0,2,0,3,2,0,0,,,,,,,,,,,,,,,2
10120120813,1__choma_district,101,8/13/2012,0,0,0,0,0,0,0,0,0,0,6,3,0,0,,,,,,,,,,,,,,,2
10120120820,1__choma_district,101,8/20/2012,0,0,0,0,0,0,0,0,0,0,8,2,1,0,,,,,,,,,,,,,,,2
10120120827,1__choma_district,101,8/27/2012,0,0,0,0,0,0,0,0,0,0,12,5,3,0,,,,,,,,,,,,,,,2
10120120903,1__choma_district,101,9/3/2012,0,0,0,0,0,0,0,0,0,0,8,2,1,0,,,,,,,,,,,,,,,2
10120120910,1__choma_district,101,9/10/2012,0,0,0,0,0,0,0,0,0,0,9,0,2,0,,,,,,,,,,,,,,,2
