"","hcid_ymd","redcap_data_access_group","hcid","wk_start_date","rdtp_u5","rdtp_a5","rdt_u5ntx","rdt_a5ntx","rdt_u5tx","rdt_a5tx","nordt_u5","nordt_a5","used","stk","dia_u5","dia_a5","pneu_u5","pneu_a5","mald_u5","mald_a5","mz_rdtp_u5","mz_rdtp_a5","mz_rdt_u5ntx","mz_rdt_a5ntx","mz_rdt_u5tx","mz_rdt_a5tx","mz_dia_u5","mz_dia_a5","mz_pneu_u5","mz_pneu_a5","mz_mald_u5","mz_mald_a5","weekly_sms_health_center_data_complete","FID","Shape..","lat","long","hcid_1","Name"
"1",10120120416,"1__choma_district",101,2012-04-16,6,11,40,45,0,0,0,0,104,3,42,28,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"2",10120120423,"1__choma_district",101,2012-04-23,5,7,17,12,0,0,0,0,41,252,51,30,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"3",10120120430,"1__choma_district",101,2012-04-30,0,8,19,19,0,0,0,0,44,180,3,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"4",10120120507,"1__choma_district",101,2012-05-07,1,1,9,15,0,0,0,0,27,150,6,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"5",10120120514,"1__choma_district",101,2012-05-14,1,2,20,13,0,0,0,0,36,113,7,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"6",10120120521,"1__choma_district",101,2012-05-21,0,7,19,14,0,0,0,0,41,71,23,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"7",10120120528,"1__choma_district",101,2012-05-28,1,0,9,14,0,0,0,0,24,144,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"8",10120120604,"1__choma_district",101,2012-06-04,0,0,4,13,0,0,0,0,17,131,19,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"9",10120120611,"1__choma_district",101,2012-06-11,0,0,3,3,0,0,0,0,6,125,15,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"10",10120120618,"1__choma_district",101,2012-06-18,1,0,8,7,0,0,0,0,16,109,21,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"11",10120120625,"1__choma_district",101,2012-06-25,0,0,10,4,0,0,0,0,14,84,26,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"12",10120120702,"1__choma_district",101,2012-07-02,0,0,6,3,0,0,0,0,9,75,15,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"13",10120120709,"1__choma_district",101,2012-07-09,0,0,10,8,0,0,0,0,18,57,8,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"14",10120120716,"1__choma_district",101,2012-07-16,0,0,7,7,0,0,0,0,14,43,11,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"15",10120120723,"1__choma_district",101,2012-07-23,0,0,5,4,0,0,0,0,9,36,12,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"16",10120120730,"1__choma_district",101,2012-07-30,0,0,2,5,0,0,0,0,7,29,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"17",10120120806,"1__choma_district",101,2012-08-06,0,0,1,1,0,0,0,0,2,0,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"18",10120120813,"1__choma_district",101,2012-08-13,0,0,0,0,0,0,0,0,0,0,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"19",10120120820,"1__choma_district",101,2012-08-20,0,0,0,0,0,0,0,0,0,0,8,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"20",10120120827,"1__choma_district",101,2012-08-27,0,0,0,0,0,0,0,0,0,0,12,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"21",10120120903,"1__choma_district",101,2012-09-03,0,0,0,0,0,0,0,0,0,0,8,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"22",10120120910,"1__choma_district",101,2012-09-10,0,0,0,0,0,0,0,0,0,0,9,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"23",10120120917,"1__choma_district",101,2012-09-17,0,1,2,4,0,0,0,0,7,28,6,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"24",10120120924,"1__choma_district",101,2012-09-24,0,0,12,12,0,0,0,0,24,28,10,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"25",10120121001,"1__choma_district",101,2012-10-01,0,0,15,14,0,0,0,0,29,26,11,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"26",10120121008,"1__choma_district",101,2012-10-08,0,0,11,16,0,0,0,0,27,25,16,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"27",10120121015,"1__choma_district",101,2012-10-15,0,0,12,15,0,0,0,0,27,24,19,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"28",10120121022,"1__choma_district",101,2012-10-22,0,0,9,11,0,0,0,0,20,23,8,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"29",10120121029,"1__choma_district",101,2012-10-29,0,0,20,8,0,0,0,0,28,20,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"30",10120121105,"1__choma_district",101,2012-11-05,0,0,9,4,0,0,0,0,13,20,0,9,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"31",10120121112,"1__choma_district",101,2012-11-12,1,0,9,5,0,0,0,0,15,19,8,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
"32",10120121119,"1__choma_district",101,2012-11-19,1,3,14,4,0,0,0,0,22,21,11,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Point",-16.380174,26.644987,101,"Chilala"
